time,latitude,longitude,ax,ay,az,atotal,wx,wy,wz,type
2022-12-08 21:21:23+00:00,49.26511148957549,-123.17931518411262,-1.335483870967742,-0.3425806451612902,-1.127741935483871,5.069354838709677,-0.7,0.21,-0.01,ankle
2022-12-08 21:21:24+00:00,49.26510922243743,-123.17931435718936,0.6526086956521739,0.6866666666666668,0.5150724637681159,4.907536231884058,-0.59,0.27,0.01,ankle
2022-12-08 21:21:25+00:00,49.26510927775183,-123.17932025257292,-0.971875,-0.59515625,-0.5003124999999999,4.98171875,-0.33,0.09,0.0,ankle
2022-12-08 21:21:26+00:00,49.26510952953065,-123.17932146861725,0.4620588235294117,-0.1536764705882353,0.44485294117647056,4.604411764705882,0.0,-0.14,-0.03,ankle
2022-12-08 21:21:27+00:00,49.26511179122117,-123.17932088350013,-0.6583823529411765,0.3014705882352941,-0.12088235294117648,4.46014705882353,0.29,-0.3,-0.04,ankle
2022-12-08 21:21:28+00:00,49.26511247562994,-123.17931926498606,0.0831746031746032,-0.5122222222222221,0.18873015873015875,4.4615873015873015,0.5,-0.44,-0.07,ankle
2022-12-08 21:21:29+00:00,49.26511247562994,-123.17931926498606,0.48231884057971014,0.8482608695652174,0.021884057971014493,4.63768115942029,0.59,-0.52,-0.1,ankle
2022-12-08 21:21:30+00:00,49.26511247562994,-123.17931926498606,-1.1251470588235295,-0.8516176470588235,-0.024264705882352938,4.866911764705883,0.58,-0.51,-0.12,ankle
2022-12-08 21:21:31+00:00,49.26511247562994,-123.17931926498606,0.8323809523809523,0.6396825396825396,0.5976190476190476,5.264920634920635,0.49,-0.4,-0.14,ankle
2022-12-08 21:21:32+00:00,49.26511247562994,-123.17931926498606,-1.1182857142857143,-0.5329999999999999,-0.49742857142857144,5.759714285714286,0.33,-0.23,-0.14,ankle
2022-12-08 21:21:33+00:00,49.26511175213266,-123.17931610972713,1.1086764705882353,0.08441176470588234,0.2001470588235294,4.957352941176471,0.15,-0.07,-0.12,ankle
2022-12-08 21:21:34+00:00,49.26511178022391,-123.17931118509146,-0.6598412698412699,0.19047619047619047,-0.22253968253968254,4.504603174603175,-0.04,0.03,-0.09,ankle
2022-12-08 21:21:35+00:00,49.26511255504816,-123.17929998911202,-0.1734782608695652,-0.5757971014492753,0.3650724637681159,4.809420289855073,-0.19,0.04,-0.05,ankle
2022-12-08 21:21:36+00:00,49.26511049922413,-123.17931202155869,-0.169,0.6718571428571428,-0.23914285714285713,4.843,-0.27,0.01,-0.03,ankle
2022-12-08 21:21:37+00:00,49.265115479808536,-123.17931027120916,-0.14686567164179104,-0.8680597014925373,0.4291044776119403,4.465820895522388,-0.27,-0.04,-0.02,ankle
2022-12-08 21:21:38+00:00,49.26511815586007,-123.17931735271505,0.1851428571428572,0.7794285714285714,-0.08114285714285714,4.601999999999999,-0.19,-0.08,-0.02,ankle
2022-12-08 21:21:39+00:00,49.26511893309608,-123.17932796522928,-0.2696969696969697,-0.8165151515151515,-0.19515151515151513,4.693787878787879,-0.09,-0.09,-0.03,ankle
2022-12-08 21:21:40+00:00,49.26512245527277,-123.17933237391772,0.7344285714285714,0.6404285714285715,-0.07828571428571428,4.7545714285714284,0.01,-0.08,-0.05,ankle
2022-12-08 21:21:41+00:00,49.26511993912784,-123.17931108081582,-1.1725714285714286,-0.7718571428571429,0.06685714285714285,4.498714285714286,0.08,-0.06,-0.07,ankle
2022-12-08 21:21:42+00:00,49.265118528621706,-123.17931412107536,1.0604285714285715,0.7324285714285713,-0.09799999999999998,4.872428571428571,0.11,-0.02,-0.09,ankle
2022-12-08 21:21:43+00:00,49.26512725790307,-123.17928465489533,-1.0829411764705883,-0.7474999999999999,-0.29029411764705887,4.903088235294118,0.1,0.02,-0.11,ankle
2022-12-08 21:21:44+00:00,49.265131463262,-123.17925506109376,0.9652112676056338,0.6574647887323943,0.25098591549295773,4.997042253521127,0.07,0.04,-0.11,ankle
2022-12-08 21:21:45+00:00,49.26513657860743,-123.17924538093102,-1.2106060606060607,-0.5637878787878788,-0.28833333333333333,4.621515151515151,0.01,0.03,-0.1,ankle
2022-12-08 21:21:46+00:00,49.26513781956743,-123.17922849962396,0.47609375000000004,-0.20843750000000003,0.4040625,4.56640625,-0.04,0.03,-0.08,ankle
2022-12-08 21:21:47+00:00,49.26513125452146,-123.17920965768472,-0.13828571428571435,0.4154285714285714,-0.5508571428571429,4.815857142857143,-0.06,0.04,-0.08,ankle
2022-12-08 21:21:48+00:00,49.26512946343339,-123.17918555142514,-0.012121212121212118,-0.9007575757575758,0.3195454545454545,4.665454545454546,-0.06,0.05,-0.08,ankle
2022-12-08 21:21:49+00:00,49.265126196785545,-123.17917600405718,0.47671874999999997,1.06765625,0.16828125,4.258125,-0.04,0.06,-0.08,ankle
2022-12-08 21:21:50+00:00,49.265119987647154,-123.17915817371548,-0.9805714285714285,-0.8207142857142857,-0.18957142857142856,4.575285714285714,-0.02,0.03,-0.08,ankle
2022-12-08 21:21:51+00:00,49.26511269134681,-123.17912399469203,0.7000000000000001,0.3780952380952381,0.27206349206349206,4.355555555555555,0.0,0.01,-0.08,ankle
2022-12-08 21:21:52+00:00,49.26511026163512,-123.17910457047115,-0.5838235294117646,0.0425,-0.2560294117647059,4.691323529411765,0.01,-0.02,-0.07,ankle
2022-12-08 21:21:53+00:00,49.2651077925137,-123.17908211858489,0.21900000000000003,-0.4655714285714285,0.22542857142857142,4.721285714285714,0.01,-0.05,-0.06,ankle
2022-12-08 21:21:54+00:00,49.26510437648222,-123.1790618681066,0.4804838709677419,0.8153225806451613,-0.2532258064516129,5.020806451612904,0.01,-0.08,-0.06,ankle
2022-12-08 21:21:55+00:00,49.26510618697298,-123.17903386149708,-0.9541176470588235,-0.895,-0.017352941176470585,4.988823529411765,0.01,-0.07,-0.05,ankle
2022-12-08 21:21:56+00:00,49.26510560224987,-123.1790217969129,0.7591428571428571,0.9032857142857144,0.23285714285714287,5.0241428571428575,0.02,-0.05,-0.05,ankle
2022-12-08 21:21:57+00:00,49.265106709006695,-123.17898890542952,-0.7930645161290323,-0.5746774193548387,-0.5737096774193549,4.953064516129031,0.01,-0.03,-0.04,ankle
2022-12-08 21:21:58+00:00,49.26510993446007,-123.17898040158536,0.4878260869565217,-0.29782608695652174,0.4204347826086956,4.762608695652174,0.0,-0.02,-0.02,ankle
2022-12-08 21:21:59+00:00,49.26510991712613,-123.17896602842836,-0.5726470588235294,0.2227941176470588,-0.15323529411764708,4.810588235294118,-0.01,-0.03,0.0,ankle
2022-12-08 21:22:00+00:00,49.26511189814606,-123.17895483079889,-0.17734374999999997,-0.6164062499999999,0.19406249999999997,4.543125,-0.02,-0.04,0.03,ankle
2022-12-08 21:22:01+00:00,49.26511367820012,-123.17892740021352,0.5829411764705883,0.9708823529411764,0.15852941176470586,4.692058823529412,-0.02,-0.06,0.06,ankle
2022-12-08 21:22:02+00:00,49.26511328215758,-123.17891390470125,-1.3783823529411765,-0.5880882352941177,0.3263235294117647,5.387205882352941,-0.01,-0.06,0.08,ankle
2022-12-08 21:22:03+00:00,49.26511138353908,-123.17888828976253,0.23343750000000002,0.4115625,0.808125,4.33203125,0.0,-0.05,0.07,ankle
2022-12-08 21:22:04+00:00,49.26510667339058,-123.17886923421612,-0.5423188405797101,0.18115942028985507,-0.5815942028985508,5.3618840579710145,-0.01,-0.06,0.05,ankle
2022-12-08 21:22:05+00:00,49.26510330277424,-123.17883775298108,-0.0886153846153846,-0.622,0.8458461538461538,4.782153846153846,-0.02,-0.06,0.02,ankle
2022-12-08 21:22:06+00:00,49.26510434951032,-123.17881560982372,0.38969230769230767,1.038,-0.3283076923076923,5.855076923076923,-0.04,-0.05,-0.01,ankle
2022-12-08 21:22:07+00:00,49.26510422637092,-123.1787933495477,-0.8262857142857143,-1.219142857142857,0.13928571428571432,5.568,-0.07,-0.03,-0.02,ankle
2022-12-08 21:22:08+00:00,49.26509727567457,-123.17876286738208,0.7579999999999999,0.9312307692307692,0.28061538461538466,4.972,-0.1,-0.02,-0.03,ankle
2022-12-08 21:22:09+00:00,49.26509377259894,-123.178744971983,-0.9541538461538462,0.1230769230769231,0.006769230769230769,4.754307692307692,-0.12,-0.05,-0.04,ankle
2022-12-08 21:22:10+00:00,49.26509517615657,-123.17871749749344,0.15257142857142858,-0.4458571428571429,0.36014285714285715,4.135714285714286,-0.13,-0.07,-0.04,ankle
2022-12-08 21:22:11+00:00,49.26509279193951,-123.17869305724903,0.44904761904761903,0.817936507936508,0.023809523809523826,4.7103174603174605,-0.11,-0.09,-0.05,ankle
2022-12-08 21:22:12+00:00,49.26509067074038,-123.17866880490702,-1.4936764705882355,-0.9666176470588236,-0.2539705882352941,6.1336764705882345,-0.09,-0.1,-0.06,ankle
2022-12-08 21:22:13+00:00,49.26508913042162,-123.17864466746126,1.2017391304347824,0.9644927536231883,0.5253623188405797,5.837971014492753,-0.07,-0.09,-0.06,ankle
2022-12-08 21:22:14+00:00,49.26508658742951,-123.1786260127158,-1.327936507936508,-0.9944444444444445,-0.45603174603174607,6.021111111111111,-0.06,-0.05,-0.06,ankle
2022-12-08 21:22:15+00:00,49.26508533522501,-123.17859896395576,0.511764705882353,0.4486764705882353,0.6348529411764706,5.664411764705882,-0.05,-0.03,-0.06,ankle
2022-12-08 21:22:16+00:00,49.26508427836319,-123.17857621887605,-0.6333333333333333,-0.03623188405797102,-0.5772463768115942,5.49072463768116,-0.04,-0.01,-0.05,ankle
2022-12-08 21:22:17+00:00,49.26508332798246,-123.17855547225882,-0.21709677419354836,-0.6625806451612903,0.15032258064516132,5.166774193548386,-0.03,-0.01,-0.05,ankle
2022-12-08 21:22:18+00:00,49.265078039827365,-123.178524004795,0.9665714285714285,0.7911428571428571,0.28114285714285714,5.084428571428571,-0.02,-0.05,-0.04,ankle
2022-12-08 21:22:19+00:00,49.26508016727281,-123.17850531432867,-1.1429850746268657,-0.5850746268656717,-0.30149253731343284,4.793432835820896,0.0,-0.09,-0.04,ankle
2022-12-08 21:22:20+00:00,49.26508189120661,-123.17848243680112,0.3385714285714285,-0.08777777777777779,0.6884126984126984,5.057142857142858,0.01,-0.13,-0.04,ankle
2022-12-08 21:22:21+00:00,49.26508072682941,-123.17846329218324,-0.44957142857142857,0.5830000000000001,-0.6987142857142857,5.895714285714286,0.02,-0.15,-0.04,ankle
2022-12-08 21:22:22+00:00,49.26508151416293,-123.17844082910536,-0.02333333333333335,-1.0243939393939394,0.7321212121212122,6.038787878787879,0.01,-0.15,-0.03,ankle
2022-12-08 21:22:23+00:00,49.26508094436619,-123.1784114727464,0.4046153846153846,1.1727692307692308,-0.013846153846153838,5.940769230769231,0.0,-0.12,-0.01,ankle
2022-12-08 21:22:24+00:00,49.26508013054478,-123.17838865290004,-0.676231884057971,-1.2604347826086957,-0.008260869565217389,5.979420289855073,-0.01,-0.1,0.01,ankle
2022-12-08 21:22:25+00:00,49.265077469280186,-123.17836602851136,0.9865079365079364,1.0761904761904761,0.05650793650793651,5.651111111111111,0.0,-0.06,0.04,ankle
2022-12-08 21:22:26+00:00,49.265083003923465,-123.17834392363032,-1.2611764705882353,-0.8132352941176471,-0.27647058823529413,5.138529411764706,0.02,-0.01,0.06,ankle
2022-12-08 21:22:27+00:00,49.26508018572998,-123.17832198665172,0.7050746268656717,0.3964179104477612,0.596865671641791,4.767761194029851,0.03,0.02,0.07,ankle
2022-12-08 21:22:28+00:00,49.26508044090932,-123.178298612524,-0.46,0.08523809523809525,-0.46634920634920635,4.898253968253968,0.05,0.03,0.06,ankle
2022-12-08 21:22:29+00:00,49.26508308598806,-123.17827715204272,-0.1608450704225352,-0.7407042253521128,0.16690140845070423,4.937464788732394,0.07,0.04,0.04,ankle
2022-12-08 21:22:30+00:00,49.26508117364861,-123.17825646149817,0.8721538461538462,1.1853846153846153,0.25553846153846155,5.454923076923077,0.08,0.05,0.01,ankle
2022-12-08 21:22:31+00:00,49.26507899643256,-123.17823518524682,-0.8292307692307692,-0.4772307692307693,-0.6778461538461539,4.958153846153846,0.08,0.05,-0.02,ankle
2022-12-08 21:22:32+00:00,49.265078595329406,-123.17821469042651,0.5358571428571428,-0.1962857142857143,0.7274285714285714,5.220285714285715,0.07,0.03,-0.04,ankle
2022-12-08 21:22:33+00:00,49.26507779092816,-123.178194393307,-0.3369230769230769,0.3423076923076923,-0.3638461538461538,5.8787692307692305,0.04,0.01,-0.06,ankle
2022-12-08 21:22:34+00:00,49.26508022362403,-123.17817170089955,-0.5503076923076924,-0.9566153846153846,-0.06969230769230769,5.866615384615384,0.01,-0.02,-0.08,ankle
2022-12-08 21:22:35+00:00,49.265083458407496,-123.17815111687312,0.985,0.668,0.5254285714285715,5.1378571428571425,-0.03,-0.04,-0.09,ankle
2022-12-08 21:22:36+00:00,49.26508123911011,-123.17813042217362,-0.8959016393442623,-0.07983606557377047,0.0036065573770491764,4.762786885245901,-0.07,-0.04,-0.08,ankle
2022-12-08 21:22:37+00:00,49.26507812378454,-123.17810655930424,-0.31857142857142856,-0.864,-0.06457142857142857,5.073428571428571,-0.09,-0.03,-0.07,ankle
2022-12-08 21:22:38+00:00,49.26508003029221,-123.17808316077992,0.21507462686567164,0.8149253731343283,0.12492537313432837,4.691940298507463,-0.08,-0.01,-0.05,ankle
2022-12-08 21:22:39+00:00,49.2650797904467,-123.17806034808984,-0.6603174603174603,-0.7576190476190475,-0.13777777777777778,4.874126984126984,-0.05,-0.01,-0.05,ankle
2022-12-08 21:22:40+00:00,49.26508115917232,-123.1780386897134,0.23657142857142854,-0.033428571428571426,0.48414285714285715,5.045714285714285,-0.01,-0.03,-0.05,ankle
2022-12-08 21:22:41+00:00,49.265080648811725,-123.17802212949051,0.1614925373134328,0.646865671641791,-0.4691044776119403,5.350895522388059,0.03,-0.1,-0.08,ankle
2022-12-08 21:22:42+00:00,49.26508022856147,-123.17801409268912,-0.5396875000000001,-0.9618749999999999,-0.25390625,5.5190625,0.05,-0.17,-0.1,ankle
2022-12-08 21:22:43+00:00,49.26508319477573,-123.17800199660236,0.748,0.6515714285714286,0.19128571428571428,4.657571428571428,0.07,-0.18,-0.11,ankle
2022-12-08 21:22:44+00:00,49.2650771380312,-123.1780118830238,-1.0521538461538462,-0.36046153846153844,-0.25769230769230766,4.685538461538462,0.07,-0.14,-0.12,ankle
2022-12-08 21:22:45+00:00,49.26507604876072,-123.17800558509713,0.2147692307692308,-0.556923076923077,0.44553846153846155,4.257846153846153,0.06,-0.06,-0.1,ankle
2022-12-08 21:22:46+00:00,49.265072726960106,-123.1779959576484,0.28614285714285714,0.9525714285714286,-0.01971428571428572,4.880142857142857,0.03,0.03,-0.06,ankle
2022-12-08 21:22:47+00:00,49.26507065168354,-123.17797838436242,-0.98390625,-0.62515625,-0.09265625,4.7059375,0.01,0.06,-0.04,ankle
2022-12-08 21:22:48+00:00,49.26506650943563,-123.17795714511156,1.02044776119403,0.2919402985074627,0.2792537313432836,5.050597014925373,0.0,0.05,-0.03,ankle
2022-12-08 21:22:49+00:00,49.265061222905686,-123.17794352917409,-0.9681159420289854,-0.286231884057971,-0.29724637681159416,4.958985507246377,0.02,0.0,-0.02,ankle
2022-12-08 21:22:50+00:00,49.26505005591724,-123.17794051562436,-0.09841269841269842,-0.3873015873015873,0.2573015873015873,4.047936507936508,0.07,-0.04,-0.03,ankle
2022-12-08 21:22:51+00:00,49.265036836747285,-123.177938734737,0.7641176470588236,0.8676470588235294,0.40279411764705886,4.4833823529411765,0.13,-0.06,-0.07,ankle
2022-12-08 21:22:52+00:00,49.26502168611442,-123.1779408287252,-1.2581159420289856,-0.5065217391304349,-0.33202898550724635,4.87463768115942,0.19,-0.07,-0.11,ankle
2022-12-08 21:22:53+00:00,49.26500768677279,-123.17793510821264,0.3709523809523809,-0.40904761904761905,0.3331746031746032,5.350952380952381,0.23,-0.07,-0.13,ankle
2022-12-08 21:22:54+00:00,49.26498972244468,-123.17793327449718,0.25420289855072464,0.1988405797101449,0.005217391304347844,5.007101449275362,0.26,-0.07,-0.11,ankle
2022-12-08 21:22:55+00:00,49.26497677154139,-123.17793029076712,-0.1604545454545455,-0.3004545454545454,-0.32272727272727275,3.1309090909090913,0.29,0.0,-0.07,ankle
2022-12-08 21:22:56+00:00,49.26496587644324,-123.17793275784426,-0.2510769230769231,0.17707692307692305,0.33492307692307693,4.903076923076923,0.33,0.08,-0.02,ankle
2022-12-08 21:22:57+00:00,49.26495440682013,-123.1779402281462,0.34536231884057966,1.056376811594203,-0.01724637681159421,5.512753623188406,0.35,0.16,0.03,ankle
2022-12-08 21:22:58+00:00,49.264942514647736,-123.17794667451666,-0.6069117647058823,-1.4410294117647058,-0.08323529411764703,5.625735294117647,0.36,0.16,0.09,ankle
2022-12-08 21:22:59+00:00,49.26493009538999,-123.17794455866192,0.636875,0.66890625,0.634375,5.3121875,0.39,0.13,0.16,ankle
2022-12-08 21:23:00+00:00,49.264914938088886,-123.1779446380442,-0.13971014492753625,0.14768115942028984,-0.3769565217391304,4.40768115942029,0.45,0.08,0.26,ankle
2022-12-08 21:23:01+00:00,49.26489706508294,-123.17794291381723,-0.40636363636363637,-1.0174242424242423,-0.14984848484848484,4.841060606060606,0.54,-0.01,0.38,ankle
2022-12-08 21:23:02+00:00,49.264881587798506,-123.1779437410721,0.71828125,0.64265625,0.336875,5.13890625,0.64,-0.09,0.53,ankle
2022-12-08 21:23:03+00:00,49.26486443651172,-123.1779404046983,-0.351,0.15742857142857142,-0.5304285714285715,4.962714285714285,0.76,-0.11,0.67,ankle
2022-12-08 21:23:04+00:00,49.264849784691584,-123.1779507012628,-0.37303030303030305,-0.7946969696969698,0.3887878787878788,4.76378787878788,0.91,-0.03,0.82,ankle
2022-12-08 21:23:05+00:00,49.264834854753616,-123.17795340338076,0.51953125,0.5856250000000001,0.46921875,4.40671875,1.1,0.17,1.0,ankle
2022-12-08 21:23:06+00:00,49.26481920209869,-123.1779485271908,-0.4814285714285715,0.27299999999999996,-0.518,4.974142857142857,1.27,0.42,1.14,ankle
2022-12-08 21:23:07+00:00,49.26480610910719,-123.17795580753506,-0.6141269841269842,-1.021111111111111,0.43666666666666665,5.109523809523809,1.38,0.71,1.23,ankle
2022-12-08 21:23:08+00:00,49.26479271003267,-123.17795710679104,0.8442647058823529,0.2842647058823529,0.01882352941176471,3.9610294117647062,1.41,1.0,1.33,ankle
2022-12-08 21:23:09+00:00,49.26477781584651,-123.1779658768308,0.37779411764705884,-0.4180882352941177,-0.09294117647058822,4.949411764705882,1.38,1.14,1.46,ankle
2022-12-08 21:23:10+00:00,49.26476046980663,-123.177959623197,-1.4996875,0.014062500000000009,0.6321875,4.97,1.23,1.15,1.52,ankle
2022-12-08 21:23:11+00:00,49.26474498354489,-123.17795656144364,-0.5642647058823529,-0.7530882352941176,-0.11514705882352941,2.711029411764706,1.04,1.25,1.49,ankle
2022-12-08 21:23:12+00:00,49.264731093164535,-123.17795984431253,0.052428571428571435,-0.9408571428571428,0.07471428571428573,2.408142857142857,0.81,1.3,1.43,ankle
2022-12-08 21:23:13+00:00,49.26471893675606,-123.17796584456516,-0.07466666666666666,0.0065333333333333216,-0.039066666666666666,1.31,0.56,1.47,1.35,ankle
2022-12-08 21:23:14+00:00,49.264707130604094,-123.17797008188984,-0.06473684210526316,0.3352631578947369,-0.10197368421052633,2.0710526315789473,0.32,2.06,1.28,ankle
2022-12-08 21:23:15+00:00,49.26469249987597,-123.17797725364754,0.03527027027027028,-0.5751351351351351,0.30000000000000004,1.6491891891891892,0.19,2.99,1.36,ankle
2022-12-08 21:23:16+00:00,49.26468087045934,-123.17798172098966,0.02280487804878049,-0.3274390243902439,0.18158536585365853,1.266951219512195,0.04,3.17,1.39,ankle
2022-12-08 21:23:17+00:00,49.26466506980195,-123.17798523845666,-0.2636904761904762,-0.031309523809523815,-0.16654761904761903,1.2953571428571429,-0.02,2.94,1.37,ankle
2022-12-08 21:23:18+00:00,49.26466020028279,-123.1779913266376,0.31448275862068964,0.5891954022988506,0.06862068965517241,1.50816091954023,0.04,2.69,1.34,ankle
2022-12-08 21:23:19+00:00,49.26465148943248,-123.1779922340791,0.19345238095238096,-0.03416666666666665,0.38047619047619047,1.2522619047619048,0.17,2.47,1.23,ankle
2022-12-08 21:23:20+00:00,49.264637873347375,-123.17799559879914,0.28818181818181815,-0.6711363636363636,0.06011363636363636,1.4102272727272727,0.35,2.07,0.98,ankle
2022-12-08 21:23:21+00:00,49.26462462097553,-123.17800119607008,-0.19714285714285712,0.4635714285714285,-0.47619047619047616,1.1135714285714284,0.47,1.7,0.79,ankle
2022-12-08 21:23:22+00:00,49.26461030192405,-123.17799562699726,-0.6347727272727273,1.0568181818181819,0.5042045454545454,3.2236363636363636,0.48,1.69,0.65,ankle
2022-12-08 21:23:23+00:00,49.264592934090444,-123.17799437482296,0.12829787234042553,0.165,0.043297872340425536,3.4280851063829787,0.49,2.0,0.55,ankle
2022-12-08 21:23:24+00:00,49.26458063711083,-123.17798795392729,0.05391304347826086,-0.23152173913043478,-0.10869565217391304,2.6954347826086957,0.44,2.34,0.66,ankle
2022-12-08 21:23:25+00:00,49.264573686598325,-123.1779774496006,0.16929411764705882,-0.09835294117647059,-0.5257647058823529,2.631882352941177,0.3,2.58,0.86,ankle
2022-12-08 21:23:26+00:00,49.26455491590328,-123.17797737089518,-0.12715909090909092,0.020909090909090912,0.20511363636363636,3.226477272727273,0.05,2.71,1.01,ankle
2022-12-08 21:23:27+00:00,49.26453287757781,-123.1779633965755,-0.1544578313253012,0.006626506024096386,0.592289156626506,3.1031325301204817,-0.23,2.65,1.14,ankle
