time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:21:23+00:00,-1.335483870967742,-0.3425806451612902,-1.127741935483871,5.090562405743541,-0.7,0.21,-0.01,ankle,-123.17931679227107,49.265110929014014
2022-12-08 21:21:24+00:00,0.6526086956521739,0.6866666666666668,0.5150724637681159,4.969895829210678,-0.59,0.27,0.01,ankle,-123.17931674658793,49.265109996891056
2022-12-08 21:21:25+00:00,-0.971875,-0.59515625,-0.5003124999999999,4.864262074567535,-0.33,0.09,0.0,ankle,-123.17931909030338,49.26510983922172
2022-12-08 21:21:26+00:00,0.4620588235294117,-0.1536764705882353,0.4448529411764705,4.78761841101327,0.0,-0.14,-0.03,ankle,-123.17932027174928,49.26511024302227
2022-12-08 21:21:27+00:00,-0.6583823529411765,0.3014705882352941,-0.1208823529411764,4.751960245795857,0.29,-0.3,-0.04,ankle,-123.17932025632719,49.26511136031446
2022-12-08 21:21:28+00:00,0.0831746031746032,-0.5122222222222221,0.1887301587301587,4.762108718123137,0.5,-0.44,-0.07,ankle,-123.17931961373218,49.26511204669992
2022-12-08 21:21:29+00:00,0.4823188405797101,0.8482608695652174,0.0218840579710144,4.810456560971257,0.59,-0.52,-0.1,ankle,-123.17931931988328,49.26511230415536
2022-12-08 21:21:30+00:00,-1.1251470588235295,-0.8516176470588235,-0.0242647058823529,4.876591839832605,0.58,-0.51,-0.12,ankle,-123.17931908093159,49.265112390136224
2022-12-08 21:21:31+00:00,0.8323809523809523,0.6396825396825396,0.5976190476190476,4.932670971257113,0.49,-0.4,-0.14,ankle,-123.17931865792542,49.26511239062338
2022-12-08 21:21:32+00:00,-1.1182857142857143,-0.5329999999999999,-0.4974285714285714,4.954453394184991,0.33,-0.23,-0.14,ankle,-123.17931762785861,49.26511230610397
2022-12-08 21:21:33+00:00,1.1086764705882353,0.0844117647058823,0.2001470588235294,4.934395519491169,0.15,-0.07,-0.12,ankle,-123.17931496066437,49.26511205205859
2022-12-08 21:21:34+00:00,-0.6598412698412699,0.1904761904761904,-0.2225396825396825,4.884430951971923,-0.04,0.03,-0.09,ankle,-123.17931114440736,49.26511209793913
