time,ax,ay,az,atotal
0.002113819122314453,4.28,6.45,0.47,7.75
0.08793878555297852,4.17,6.27,0.26,7.53
0.08950185775756836,3.99,5.98,-0.07,7.18
0.09987592697143555,3.75,4.83,-0.81,6.16
0.10173702239990234,2.88,4.25,-1.53,5.35
0.11404800415039062,1.92,3.7,-2.23,4.72
0.11656785011291504,0.87,3.2,-2.65,4.24
0.13031673431396484,-0.26,2.77,-2.96,4.06
0.13260293006896973,-1.36,2.13,-3.09,3.99
0.1464548110961914,-2.62,1.1,-2.75,3.95
0.14854693412780762,-4.38,-0.37,-2.7,5.15
0.23512983322143555,-4.98,-1.45,-2.33,5.68
0.23661494255065918,-5.76,-2.52,-1.83,6.54
0.24703073501586914,-6.1,-3.39,-1.35,7.1
0.24899888038635254,-6.08,-3.94,-1.02,7.31
0.26337099075317383,-5.81,-4.17,-0.9,7.2
0.26518988609313965,-5.91,-4.31,-1.39,7.44
0.27968287467956543,-5.34,-3.88,-1.7,6.81
0.2815868854522705,-5.17,-3.4,-2.05,6.51
0.2962808609008789,-4.93,-2.86,-2.22,6.11
0.2984888553619385,-4.37,-2.06,-2.17,5.29
0.38274097442626953,-3.81,-1.53,-2.12,4.62
0.3842658996582031,-2.92,-1.39,-1.82,3.71
0.40007495880126953,-1.88,-1.56,-1.32,2.77
0.40200185775756836,-1.1,-1.29,-0.84,1.89
0.4132528305053711,-0.12,-1.37,-0.17,1.38
0.41503286361694336,0.62,-1.19,0.49,1.42
0.429595947265625,1.6,-1.24,1.1,2.3
0.4313168525695801,2.08,-1.62,1.42,2.99
0.4461698532104492,2.67,-3.29,1.54,4.5
0.44797492027282715,2.67,-4.47,1.78,5.5
0.5321059226989746,3.02,-5.3,2.21,6.48
0.5335869789123535,2.47,-5.77,2.5,6.75
0.5498948097229004,2.01,-5.39,2.59,6.3
0.5517089366912842,1.76,-4.77,2.73,5.77
0.5632598400115967,1.35,-3.65,2.65,4.7
0.5649948120117188,1.12,-2.33,2.63,3.68
0.5796008110046387,1.28,-0.88,2.67,3.08
0.5813679695129395,1.94,0.46,2.58,3.26
0.5961039066314697,2.64,1.51,2.33,3.83
0.5980839729309082,3.15,2.36,1.86,4.35
0.6813788414001465,3.62,3.15,1.43,5.0
0.6829259395599365,3.85,3.81,1.0,5.5
0.6998467445373535,3.99,4.32,0.7,5.92
0.7015948295593262,4.06,4.57,0.48,6.13
0.7132918834686279,3.92,4.94,0.2,6.3
0.7150497436523438,3.69,5.31,0.13,6.46
0.7297568321228027,3.56,5.62,-0.07,6.65
0.7316670417785645,3.32,5.66,-0.31,6.56
0.7462010383605957,2.9,5.48,-0.52,6.22
0.7480158805847168,2.37,5.11,-0.73,5.67
0.8318488597869873,1.73,4.57,-0.85,4.95
0.8333568572998047,1.07,4.08,-0.9,4.31
0.8499338626861572,0.45,3.64,-0.96,3.79
0.8517417907714844,0.01,3.32,-0.84,3.42
0.8632259368896484,-1.4,2.43,-0.94,2.95
0.8650317192077637,-3.0,1.34,-1.07,3.45
0.8795747756958008,-3.57,0.72,-1.3,3.86
0.8813300132751465,-4.07,-0.2,-1.64,4.39
