time,wx,wy,wz
0.0025250911712646484,1.17,0.19,2.27
0.004450082778930664,1.35,0.29,2.5
0.0060160160064697266,1.47,0.32,2.73
0.008506059646606445,1.54,0.32,2.94
0.010820150375366211,1.57,0.25,3.11
0.015456914901733398,1.57,0.14,3.23
0.01719212532043457,1.55,0.03,3.31
0.03180813789367676,1.52,-0.1,3.35
0.033377885818481445,1.46,-0.21,3.38
0.03608393669128418,1.39,-0.28,3.39
0.12615704536437988,1.31,-0.32,3.37
0.12848806381225586,1.24,-0.36,3.3
0.13118410110473633,1.18,-0.36,3.24
0.13285303115844727,1.13,-0.36,3.19
0.14829421043395996,1.09,-0.33,3.15
0.14999604225158691,1.06,-0.28,3.12
0.1523759365081787,1.04,-0.21,3.08
0.15494608879089355,1.06,-0.13,3.03
0.157257080078125,1.1,-0.04,2.97
0.15947413444519043,1.17,0.02,2.9
0.25031590461730957,1.22,0.1,2.83
0.25196194648742676,1.27,0.15,2.77
0.25374507904052734,1.32,0.19,2.69
0.25667905807495117,1.36,0.2,2.6
0.25890517234802246,1.42,0.22,2.52
0.2613980770111084,1.5,0.23,2.47
0.26493000984191895,1.57,0.24,2.45
0.26668310165405273,1.64,0.23,2.46
0.28176307678222656,1.65,0.24,2.47
0.28365588188171387,1.59,0.27,2.47
0.37260007858276367,1.48,0.28,2.44
0.3745291233062744,1.32,0.34,2.35
0.3759500980377197,1.15,0.43,2.17
0.3786919116973877,0.96,0.55,1.94
0.3821280002593994,0.76,0.68,1.72
0.3841569423675537,0.59,0.77,1.57
0.398327112197876,0.44,0.74,1.47
0.39992308616638184,0.37,0.66,1.42
0.40238308906555176,0.35,0.51,1.36
0.40490221977233887,0.37,0.33,1.23
0.4953901767730713,0.37,0.12,1.01
0.4983251094818115,0.35,-0.14,0.72
0.499845027923584,0.27,-0.36,0.38
0.5022461414337158,0.16,-0.48,0.0
0.5045630931854248,0.06,-0.53,-0.38
0.5073978900909424,-0.07,-0.6,-0.72
0.5096590518951416,-0.24,-0.72,-0.99
0.5138309001922607,-0.44,-0.85,-1.23
0.5157670974731445,-0.69,-0.9,-1.45
0.5183231830596924,-0.94,-0.83,-1.67
0.6058509349822998,-1.17,-0.65,-1.88
0.6077940464019775,-1.38,-0.4,-2.08
0.6133229732513428,-1.57,-0.09,-2.29
0.6198608875274658,-1.75,0.22,-2.49
0.6247189044952393,-1.91,0.48,-2.69
0.6351571083068848,-2.06,0.68,-2.88
0.6393630504608154,-2.18,0.79,-3.05
0.6442480087280273,-2.28,0.75,-3.16
0.6493442058563232,-2.31,0.64,-3.22
0.6532230377197266,-2.28,0.5,-3.22
0.8340661525726318,-2.2,0.32,-3.21
0.8366539478302002,-2.1,0.18,-3.24
0.8390681743621826,-2.0,0.09,-3.29
0.8421330451965332,-1.92,0.07,-3.36
0.8445398807525635,-1.88,0.07,-3.45
0.8481431007385254,-1.86,0.1,-3.53
0.8503680229187012,-1.85,0.13,-3.59
0.8652780055999756,-1.8,0.07,-3.6
0.867501974105835,-1.69,-0.06,-3.59
0.8702981472015381,-1.52,-0.2,-3.58
0.9846560955047607,-1.32,-0.34,-3.56
0.9867970943450928,-1.12,-0.42,-3.56
0.9884378910064697,-0.96,-0.42,-3.56
0.9909820556640625,-0.87,-0.33,-3.54
0.99357008934021,-0.83,-0.21,-3.51
0.9967749118804932,-0.82,-0.13,-3.47
0.999305009841919,-0.83,-0.05,-3.43
1.0022380352020264,-0.85,0.01,-3.35
1.004206895828247,-0.87,0.08,-3.23
1.0071220397949219,-0.85,0.17,-3.05
1.097837209701538,-0.8,0.28,-2.83
1.0995609760284424,-0.72,0.41,-2.59
1.1013751029968262,-0.62,0.53,-2.33
1.1034770011901855,-0.52,0.62,-2.08
1.1058180332183838,-0.43,0.7,-1.85
1.1081390380859375,-0.35,0.74,-1.65
1.111279010772705,-0.28,0.72,-1.45
1.1140902042388916,-0.21,0.64,-1.28
1.1159179210662842,-0.09,0.51,-1.12
1.130202054977417,0.06,0.34,-0.99
1.2155139446258545,0.23,0.13,-0.86
1.2171709537506104,0.38,-0.13,-0.71
1.218583106994629,0.49,-0.35,-0.47
1.2213630676269531,0.57,-0.47,-0.17
1.2234971523284912,0.65,-0.47,0.14
1.2259571552276611,0.71,-0.44,0.41
1.2285940647125244,0.77,-0.43,0.63
1.2318389415740967,0.86,-0.42,0.84
1.2334439754486084,0.99,-0.41,1.11
1.248142957687378,1.13,-0.39,1.43
1.3345251083374023,1.28,-0.3,1.81
1.3361341953277588,1.41,-0.12,2.18
1.3375389575958252,1.5,0.13,2.51
1.3400208950042725,1.52,0.36,2.79
1.3427391052246094,1.48,0.55,3.01
