time,ax,ay,az,atotal
0.0031359195709228516,-1.6,-2.21,-2.83,3.93
0.0046539306640625,-1.74,-4.51,-3.55,5.99
0.020580053329467773,-2.29,-5.88,-4.16,7.55
0.022635936737060547,-3.01,-5.84,-5.18,8.36
0.033891916275024414,-3.02,-5.58,-5.93,8.68
0.03568005561828613,-2.9,-5.14,-6.14,8.51
0.050477027893066406,-2.84,-5.09,-6.53,8.75
0.05263113975524902,-2.67,-5.1,-6.37,8.58
0.06748509407043457,-2.14,-4.89,-6.13,8.12
0.0697319507598877,-1.33,-4.14,-5.79,7.24
0.16661381721496582,-0.42,-3.84,-4.51,5.93
0.1687619686126709,0.31,-4.76,-3.58,5.96
0.18398594856262207,1.16,-6.93,-1.06,7.1
0.18598103523254395,0.66,-6.29,0.77,6.37
0.20050311088562012,0.23,-5.34,0.81,5.4
0.20244097709655762,0.23,-4.89,0.65,4.93
0.21671414375305176,0.06,-4.26,0.96,4.36
0.21849393844604492,0.91,-3.56,2.52,4.45
0.23342394828796387,1.56,-3.24,3.02,4.69
0.23541712760925293,2.38,-3.53,4.0,5.84
0.3262760639190674,3.51,-3.92,4.6,6.98
0.32767200469970703,4.89,-4.6,4.55,8.11
0.3371729850769043,6.11,-5.2,4.21,9.06
0.3388700485229492,6.93,-5.15,4.21,9.6
0.3502471446990967,6.99,-4.01,4.05,9.01
0.3519008159637451,5.0,0.1,3.16,5.91
0.3667581081390381,3.77,1.92,2.79,5.06
0.36840295791625977,2.97,3.4,2.53,5.17
0.3832559585571289,2.5,4.73,2.39,5.85
0.3851330280303955,1.91,5.71,2.14,6.38
0.47573399543762207,1.32,6.58,2.05,7.01
0.47719502449035645,0.75,7.29,2.03,7.6
0.4871499538421631,0.36,7.88,1.79,8.08
0.48888182640075684,0.0,8.38,1.61,8.53
0.500391960144043,-0.27,8.88,1.43,8.99
0.5021851062774658,-0.6,9.2,1.35,9.31
0.5167558193206787,-0.87,9.23,1.17,9.34
0.5185191631317139,-1.04,8.65,0.95,8.76
0.5332789421081543,-1.06,7.72,0.7,7.82
0.5351431369781494,-1.01,6.79,0.37,6.87
0.550062894821167,-0.96,5.74,0.27,5.82
0.6404168605804443,-0.98,4.6,0.03,4.7
0.6419661045074463,-1.03,3.25,-0.27,3.41
0.6538629531860352,-1.25,1.85,-0.53,2.29
0.6558480262756348,-1.73,0.42,-0.85,1.97
0.6671209335327148,-2.42,-0.66,-1.72,3.04
0.6687901020050049,-2.93,-1.47,-2.52,4.13
0.683351993560791,-3.24,-2.18,-3.29,5.1
0.6850860118865967,-3.56,-2.89,-4.04,6.11
0.6999218463897705,-3.76,-3.48,-5.03,7.17
0.7017190456390381,-3.73,-3.94,-6.14,8.19
0.7933549880981445,-3.08,-4.72,-6.17,8.35
0.7950608730316162,-2.65,-4.56,-6.91,8.69
0.8037960529327393,-2.24,-4.34,-7.78,9.18
0.8058159351348877,-1.78,-4.13,-8.09,9.25
0.8172528743743896,-0.98,-4.02,-6.7,7.87
0.8188798427581787,-0.23,-4.64,-3.29,5.69
0.8334019184112549,-0.63,-5.43,-2.68,6.08
0.8352701663970947,0.21,-6.3,-1.14,6.4
0.8498971462249756,0.96,-6.16,0.22,6.23
0.8516948223114014,2.05,-5.8,0.59,6.17
0.9429728984832764,3.0,-5.74,0.63,6.5
0.9446060657501221,3.92,-6.09,1.78,7.45
0.9537169933319092,4.75,-5.62,2.78,7.86
0.955603837966919,5.47,-4.77,3.51,8.06
0.9672091007232666,5.39,-3.64,4.09,7.68
0.968825101852417,4.56,-2.3,4.29,6.66
0.9834070205688477,3.2,-1.61,4.25,5.55
0.9852080345153809,1.65,-1.73,4.0,4.65
0.999945878982544,0.83,-1.88,3.99,4.48
1.0017211437225342,0.9,-1.9,4.44,4.91
1.0923309326171875,0.56,-1.49,4.5,4.77
1.0937988758087158,0.21,-0.5,4.36,4.39
1.1037499904632568,0.37,0.86,3.8,3.91
1.1057519912719727,0.4,2.07,3.13,3.77
1.1170790195465088,0.27,3.31,2.76,4.31
1.1189420223236084,0.06,4.59,2.61,5.28
1.1334049701690674,-0.28,6.62,2.36,7.03
1.1352298259735107,-0.47,7.25,2.35,7.63
1.1499099731445312,-0.68,7.76,2.57,8.2
1.1517579555511475,-0.77,8.11,2.6,8.55
1.2421200275421143,-0.85,8.35,2.58,8.78
1.243664026260376,-0.87,8.43,2.55,8.85
1.2539770603179932,-0.72,8.22,2.35,8.57
1.2558038234710693,-0.54,7.6,2.05,7.89
1.2670860290527344,-0.29,6.79,1.7,7.0
1.268841028213501,-0.16,5.74,1.19,5.86
1.2834529876708984,-0.17,4.52,0.55,4.55
1.2852399349212646,-0.31,3.2,-0.04,3.21
1.299973964691162,-0.6,1.77,0.03,1.86
1.3018310070037842,-1.04,0.15,-0.29,1.09
1.3925731182098389,-1.47,-1.55,-0.59,2.21
1.394252061843872,-2.03,-2.9,-0.96,3.66
1.4039280414581299,-2.59,-3.86,-1.18,4.79
1.4058558940887451,-2.95,-4.35,-1.99,5.62
1.417024850845337,-2.74,-4.32,-3.51,6.2
1.4187748432159424,-2.17,-4.15,-6.02,7.62
1.433448076248169,-1.68,-4.02,-7.96,9.07
1.4351999759674072,-1.28,-4.28,-8.01,9.17
1.4498980045318604,-1.02,-4.9,-7.5,9.01
1.4516780376434326,-0.98,-5.03,-7.83,9.35
1.5419950485229492,-0.97,-4.72,-7.1,8.58
1.5433409214019775,-0.35,-4.72,-5.67,7.38
1.553812026977539,-0.05,-5.14,-3.95,6.48
1.5556819438934326,0.03,-5.76,-3.22,6.59
1.5670959949493408,0.97,-6.7,0.48,6.78
1.5688519477844238,0.44,-5.46,0.74,5.52
1.5835199356079102,0.22,-4.85,0.33,4.86
1.5853149890899658,0.49,-4.4,0.5,4.45
1.5999481678009033,1.48,-3.54,2.01,4.33
1.601531982421875,2.6,-3.22,2.7,4.94
1.6922550201416016,3.51,-3.04,3.37,5.73
1.6937448978424072,4.39,-3.15,4.1,6.78
1.703995943069458,5.26,-3.18,4.29,7.49
1.7060420513153076,5.61,-2.88,4.21,7.58
1.7172391414642334,5.28,-2.11,4.25,7.09
1.7189080715179443,4.64,-1.01,4.13,6.29
1.7335069179534912,3.96,0.45,3.61,5.37
1.7353270053863525,3.43,1.91,3.32,5.14
1.7499349117279053,2.7,3.42,3.13,5.36
1.7516090869903564,1.86,4.6,2.87,5.73
1.8429880142211914,1.25,5.59,2.73,6.34
1.844515085220337,0.69,6.42,2.62,6.96
1.8539609909057617,0.31,7.1,2.49,7.53
1.8557751178741455,0.03,7.59,2.46,7.97
1.867171049118042,-0.17,7.93,2.39,8.28
1.868807077407837,-0.35,8.02,2.23,8.33
1.8834640979766846,-0.45,7.85,1.98,8.1
1.8851490020751953,-0.53,7.49,1.73,7.7
1.9003000259399414,-0.59,7.06,1.39,7.21
1.90212082862854,-0.55,5.92,0.85,6.0
1.9928200244903564,-0.58,5.93,0.8,6.01
1.9944961071014404,-0.79,4.16,0.33,4.24
2.004844903945923,-0.9,3.05,0.06,3.18
2.006989002227783,-1.01,1.93,-0.34,2.2
2.0175111293792725,-1.21,0.86,-0.77,1.67
2.019408941268921,-1.5,-0.07,-1.25,1.95
2.0335018634796143,-1.64,-0.71,-1.84,2.56
2.035238027572632,-1.79,-1.15,-2.53,3.3
2.0508768558502197,-1.72,-1.79,-2.69,3.66
2.0533621311187744,-1.65,-2.57,-3.31,4.5
2.14738392829895,-1.73,-3.74,-4.14,5.84
2.1493771076202393,-2.13,-4.86,-4.52,6.97
2.150873899459839,-2.42,-6.0,-4.74,8.02
2.1672770977020264,-2.61,-6.38,-5.46,8.79
2.1695549488067627,-2.39,-6.25,-7.09,9.74
2.1836588382720947,-1.6,-5.4,-8.75,10.4
2.185478925704956,-0.66,-4.69,-9.16,10.31
2.2001678943634033,-0.1,-4.41,-6.75,8.06
2.2019519805908203,-0.2,-4.29,-3.83,5.75
2.216728925704956,-0.58,-4.06,-1.55,4.38
2.3069589138031006,-0.18,-4.39,-0.45,4.41
2.3084828853607178,0.0,-4.49,-0.01,4.49
2.3209609985351562,0.47,-3.67,0.22,3.7
2.32277512550354,1.15,-3.58,1.16,3.93
2.3338568210601807,1.9,-3.69,2.46,4.82
2.3354439735412598,2.78,-3.74,3.14,5.61
2.350127935409546,3.31,-3.55,3.38,5.91
2.3516550064086914,3.35,-3.21,3.74,5.95
2.3666679859161377,2.53,-3.08,4.26,5.83
2.3684990406036377,1.31,-3.15,4.35,5.52
2.4579498767852783,0.47,-2.98,4.49,5.4
2.459404945373535,0.08,-2.21,4.72,5.21
2.4706759452819824,-0.17,-1.23,4.8,4.95
2.472576856613159,-0.21,0.06,4.67,4.67
2.483839988708496,0.05,1.5,4.25,4.5
2.485356092453003,0.37,2.75,3.76,4.67
2.5001540184020996,0.63,3.93,3.29,5.16
2.5018150806427,0.66,5.07,3.1,5.97
2.5166361331939697,0.53,6.0,2.96,6.71
2.5184638500213623,0.26,6.71,2.87,7.3
2.608880043029785,0.01,7.14,2.59,7.59
2.6103079319000244,-0.33,7.5,2.33,7.86
2.6205530166625977,-0.5,7.62,2.13,7.92
2.6224238872528076,-0.55,7.52,1.91,7.77
2.63386607170105,-0.52,7.28,1.66,7.48
2.635579824447632,-0.49,6.92,1.31,7.05
2.6501529216766357,-0.52,6.47,0.95,6.56
2.6517441272735596,-0.54,5.93,0.72,5.99
2.6666858196258545,-0.46,5.11,0.2,5.13
2.6683881282806396,-0.46,4.04,-0.41,4.08
2.7576730251312256,-0.72,2.92,-0.68,3.08
2.759140968322754,-1.11,1.61,-1.15,2.26
2.7705581188201904,-1.56,0.34,-2.14,2.66
2.7723259925842285,-1.96,-0.54,-3.57,4.1
2.7837741374969482,-3.03,-1.98,-5.7,6.75
2.7854931354522705,-3.04,-3.26,-5.92,7.41
2.80008602142334,-3.04,-4.45,-5.77,7.89
2.8017430305480957,-2.94,-5.48,-5.38,8.22
2.8168981075286865,-2.65,-6.03,-4.9,8.2
2.818614959716797,-2.46,-6.08,-5.36,8.47
2.9100680351257324,-2.38,-5.69,-6.01,8.61
2.9116318225860596,-2.24,-4.63,-5.77,7.72
2.9205210208892822,-1.83,-3.72,-4.81,6.35
2.922437906265259,-1.34,-3.46,-3.54,5.12
2.9337551593780518,-0.77,-4.23,-2.21,4.83
2.9357120990753174,0.28,-5.63,-0.45,5.65
2.9501888751983643,0.16,-4.8,1.12,4.93
2.951843023300171,0.17,-4.76,1.51,4.99
2.9666950702667236,0.07,-5.19,1.88,5.52
2.9685471057891846,0.55,-5.01,2.54,5.64
3.0594499111175537,0.89,-4.36,2.26,4.99
3.0608208179473877,1.19,-3.58,2.64,4.6
3.070775032043457,1.94,-3.32,4.09,5.61
3.0727040767669678,3.02,-3.59,4.65,6.6
3.083801031112671,4.19,-3.86,4.3,7.13
3.0861928462982178,5.38,-4.18,3.94,7.87
3.087218999862671,6.46,-4.36,3.75,8.64
3.100200891494751,6.81,-3.81,3.66,8.61
3.1019909381866455,6.22,-2.46,3.59,7.59
